feature_1,feature_2,correlation,absolute_correlation
pclass,fare,-0.553452499738318,0.553452499738318
sibsp,parch,0.37910516723453364,0.37910516723453364
pclass,age,-0.3393717898249838,0.3393717898249838
survived,pclass,-0.3283913343962908,0.3283913343962908
age,sibsp,-0.27843484786208733,0.27843484786208733
survived,fare,0.24518709172750627,0.24518709172750627
parch,fare,0.1921864518042789,0.1921864518042789
age,parch,-0.18152925988624255,0.18152925988624255
sibsp,fare,0.13517830880044765,0.13517830880044765
age,fare,0.08962441157094045,0.08962441157094045
pclass,sibsp,0.08529676709550957,0.08529676709550957
survived,age,-0.08316462645822408,0.08316462645822408
survived,parch,0.07156348437105818,0.07156348437105818
pclass,parch,0.037219621087565546,0.037219621087565546
survived,sibsp,-0.036272084873890845,0.036272084873890845
